GeneNames	Score
EIF2B1	6.60694268713785e-06
PPP1R16A	6.60668672928133e-06
ITGA7	6.60662635340912e-06
CCL24	6.6065978884142e-06
VNN3P	6.60643610132903e-06
SNX19	6.60610086952199e-06
NLN	6.60568443625278e-06
ATP7B	6.60559857370703e-06
ZNF707	6.60545875856751e-06
AP3M1	6.60531791864066e-06
EXD3	6.60519546028237e-06
ZC3H12D	6.60488935182289e-06
DNAJC18	6.60471130654606e-06
DENND1A	6.60469652474484e-06
APTX	6.60437228268226e-06
NUTM2A	6.60436238163594e-06
BBS1	6.60429848570266e-06
FSD1L	6.60397053949044e-06
EVI5	6.6038928617628e-06
SF3B2	6.60358551065855e-06
LINC03011	6.60280229613563e-06
H2BC7	6.60279554488914e-06
RBM6	6.602088064745e-06
SLC35D1	6.60205975009261e-06
INCENP	6.60191556574562e-06
TRDMT1	6.60116588248852e-06
EFHD2-AS1	6.60080708350654e-06
IFT56	6.59976721139675e-06
POR	6.59956248574515e-06
PAQR8	6.59846556607048e-06
LEPROTL1	6.59810721061493e-06
EPB41	6.59798299529495e-06
TEX10	6.59791761086124e-06
ZCCHC17	6.5974946758167e-06
ROBO3	6.59697875766898e-06
LMNTD2	6.59680993961819e-06
ENTREP3	6.59588951622914e-06
FARS2	6.59584476408118e-06
NFKBIL1	6.59579210405141e-06
SPART	6.59575792112998e-06
PRPF38A	6.59555159804232e-06
RNASEL	6.59474687057896e-06
UBQLN1	6.5944310984072e-06
TSNARE1	6.59421675904602e-06
ZNF660	6.59398701672868e-06
HLA-E	6.59379462251266e-06
MST1	6.59376444742057e-06
RAC1	6.59294133531377e-06
AHCTF1	6.59291588518686e-06
ODF2	6.59254423772585e-06
CNOT2	6.59245067607608e-06
LRP6	6.59243051014015e-06
C3orf86P	6.59230530771678e-06
CCDC25	6.59178490498206e-06
NFX1	6.59152272902926e-06
PLCXD2	6.59140174129199e-06
CRAT	6.59135707929346e-06
PARP15	6.591262402657e-06
CCR1	6.59123586005079e-06
DLC1	6.5909526227439e-06
RMND5B	6.59000207786587e-06
ZSWIM6	6.58965449037398e-06
TAPBP	6.58961956960154e-06
FRMD3	6.58935509712371e-06
RNASEH2C	6.58799746226164e-06
PSMB9	6.58746739127366e-06
METTL27	6.58745705199804e-06
DAGLA	6.58668866202747e-06
CKAP2-DT	6.58527576984894e-06
BYSL	6.5851031926678e-06
CLTB	6.58425223289569e-06
NEBL	6.58415650483767e-06
ABCC5	6.58395770275408e-06
PPIF	6.58328756441994e-06
AP2M1	6.58285162702388e-06
PRPF38B	6.58283855815915e-06
AKR1C2	6.58226312608283e-06
SAP25	6.58223088178638e-06
FGFR4	6.58072586149735e-06
SLC26A8	6.58055533177894e-06
SVBP	6.58032236096901e-06
HLA-DQB1	6.58007402372311e-06
CNR1	6.57911699344534e-06
WDR5	6.57838450898261e-06
CAPS2	6.57808077860789e-06
SCGB3A1	6.57794369327395e-06
LINC00426	6.57788689041975e-06
THBS4	6.57731589735297e-06
ANGEL2	6.57716276639031e-06
SLC20A2	6.57649330696322e-06
NDUFA2	6.57624304092619e-06
SDHC	6.57615191491662e-06
TOMM6	6.57519513774764e-06
KRT80	6.57494153049386e-06
NRBP2	6.57479755436658e-06
CELSR2	6.57441769985077e-06
PRRC1	6.57440830946895e-06
RPN1	6.57416674817531e-06
CTRC	6.57402723772733e-06
FZD6	6.5738740789957e-06
COPA	6.57348985887237e-06
SLC22A5	6.57325000379336e-06
YME1L1	6.57310738358996e-06
ISG15	6.57300139215937e-06
HAUS6	6.57261727549291e-06
TRPV5	6.57261047790042e-06
STRIP1	6.57243528079898e-06
LIPT2	6.57152888886426e-06
TRIT1	6.57125708934082e-06
NEAT1	6.57106891720657e-06
TTC12	6.5707341476935e-06
VPS26B	6.56959865915804e-06
PIGM	6.56897278888673e-06
ST14	6.56895889332158e-06
TBCA	6.56867967972611e-06
RABGAP1L-DT	6.56825975508278e-06
ADCK2	6.56824947536878e-06
METTL25B	6.5678498891444e-06
GALT	6.56768400712044e-06
WNT11	6.56763253537258e-06
AP4M1	6.56713220331055e-06
PITRM1	6.5671204327067e-06
HERPUD2	6.56686086230655e-06
PRPF19	6.56675772029785e-06
BLOC1S5	6.56674738355979e-06
CORO2A	6.5665265660302e-06
REEP5	6.56639546333123e-06
CD163	6.56591209223755e-06
MTSS1	6.56549310465329e-06
ESYT2	6.56522125005196e-06
QRSL1	6.5644996609851e-06
ADAM9	6.56445686961759e-06
TRIM33	6.56426276542407e-06
LRRC23	6.56407651930261e-06
TIGD3	6.563973307746e-06
GSTK1	6.56306019256033e-06
NMNAT3	6.56284477994088e-06
CDC42SE2	6.56259055830309e-06
KIAA1191	6.56220566351243e-06
PLA2G2C	6.56212696526369e-06
LOXL4	6.5616277586413e-06
AKR7A2	6.56162144578828e-06
TCF19	6.56143132818622e-06
MAPK13	6.56098648099376e-06
WASHC2C	6.56090457821194e-06
SLC37A3	6.56082199563859e-06
HCG27	6.56037924301295e-06
NDUFB8	6.56032001904763e-06
BLOC1S1	6.56021538131261e-06
EEPD1	6.55893894966919e-06
LINC00534	6.55864319522439e-06
FKBP9	6.55855794316798e-06
C2	6.55819398385434e-06
NSUN5	6.55812224952526e-06
SEC31B	6.55777618100983e-06
LRRC14	6.55732670483325e-06
FHIP2B	6.55713492498251e-06
ZSCAN21	6.55701750660984e-06
PDE8B	6.55675567285823e-06
SLC35A4	6.55673609844682e-06
ATRIP	6.55639744071001e-06
HIF1AN	6.55637771608151e-06
RPS6KC1	6.5562332480903e-06
ARHGEF10	6.55612568891561e-06
TRIM68	6.55578061396158e-06
RPL10A	6.55536309730517e-06
RPS10	6.55535529943396e-06
ZYX	6.55466421642453e-06
ANKRA2	6.55418113060445e-06
SPOUT1	6.55350036931034e-06
CEP85L	6.5533779664011e-06
EPDR1	6.55330270141912e-06
TRAF5	6.55326471546156e-06
CHCHD2	6.55321382243756e-06
EPB41L4A	6.55302536867791e-06
XCR1	6.55300365660136e-06
CLEC1B	6.55284721544993e-06
ZNF891	6.55248314847512e-06
CC2D1B	6.55219921462363e-06
LINC02381	6.55177983381732e-06
ZNF517	6.5516170454065e-06
GNL2	6.55065828645734e-06
NBPF1	6.55054387373353e-06
MSANTD3	6.55049466650125e-06
PTPN12	6.55036075232592e-06
TMEM273	6.55034702459831e-06
DNAAF11	6.54999963029516e-06
TMT1A	6.54968775955811e-06
LINC02145	6.54936939298063e-06
TMEM63A	6.54900429441628e-06
TMA7	6.5488404337808e-06
OSBPL11	6.54808138021902e-06
EFCAB14	6.54646489468257e-06
CCDC6	6.54633724989419e-06
TMX2	6.54622215332118e-06
SERINC2	6.5458100695108e-06
NRG1	6.54545759789528e-06
GPR137B	6.54519456607341e-06
CARD9	6.54504082655807e-06
CD274	6.5445296766139e-06
IRAK1BP1	6.54435727261757e-06
RIN1	6.54431270232991e-06
CISD1	6.54430290678906e-06
LINC02723	6.54427978275911e-06
PPP2R1B	6.54409105075705e-06
RAD21	6.54380943456993e-06
KLRK1	6.54368852246577e-06
TUBGCP2	6.54352073003353e-06
SETDB1	6.54338932181147e-06
FLVCR1-DT	6.54334458753373e-06
RHEB	6.54311197073254e-06
ABTB1	6.54309374476804e-06
TXNRD1	6.54305026159867e-06
EPHX2	6.54286948512504e-06
CD84	6.54280030443778e-06
MAF1	6.54269776555538e-06
FOXJ2	6.54239314018048e-06
NT5DC3	6.54232210163003e-06
LRRC8D	6.5422439735288e-06
IFIT5	6.54204259927499e-06
C10orf88	6.54191298531616e-06
P4HTM	6.541622882753e-06
LINC00869	6.540315310274e-06
IFITM1	6.54029622400566e-06
ST3GAL3	6.54028401268887e-06
APPL2	6.54016250331149e-06
ZBTB44-DT	6.53996769632947e-06
CHPT1	6.53991233298249e-06
COPS7A	6.53902374150852e-06
PVT1	6.53902099427038e-06
MDM4	6.53866514408802e-06
CCR3	6.53799314884623e-06
RAB6A	6.53791429562143e-06
PTGDR2	6.53688386410668e-06
AK3	6.53666767774443e-06
NIPAL2	6.53659536012832e-06
PPFIA1	6.53610984376175e-06
TOMM7	6.53606357043085e-06
LRRC43	6.53566069244982e-06
PIGX	6.53558699492103e-06
CD14	6.53556989030379e-06
CD2AP	6.53522391279259e-06
RAVER2	6.5352002326684e-06
ITPR2	6.53497103412642e-06
KPNA1	6.53479811078096e-06
CYP21A2	6.53476017128475e-06
TAF1A	6.53396806762876e-06
HENMT1	6.53393006684007e-06
FAM87B	6.53364388752572e-06
FAXDC2	6.53354001231748e-06
CD101	6.53353552582906e-06
CHST15	6.53336420231784e-06
OAT	6.53327346442999e-06
MRS2	6.532335830966e-06
KIAA1143	6.53213822001041e-06
MS4A6A	6.53212876481132e-06
ATG10	6.53176319929885e-06
ZNF107	6.53149909800703e-06
RAP2A	6.53099707821764e-06
MMP17	6.53048183095278e-06
TRIM10	6.53032102831392e-06
TSPYL4	6.52995536384753e-06
PLPBP	6.52989664085659e-06
RNF14	6.52983082161778e-06
AGPAT4	6.5288393015681e-06
INTS8	6.52883793907179e-06
DDO	6.52875942816988e-06
C1orf159	6.52854711982474e-06
TYW1B	6.52846510866564e-06
TRIM15	6.52798020572313e-06
POLA2	6.52771861462796e-06
SLC25A16	6.52761094081419e-06
GPAM	6.52721434271337e-06
C12orf43	6.52645817898618e-06
SMG7	6.5264430266341e-06
ATP5IF1	6.52600396328238e-06
DYNC1LI1	6.52592772541762e-06
DPM2	6.5255851623063e-06
C4B	6.52530719708286e-06
FCRLA	6.52510812291389e-06
STYK1	6.52497695974353e-06
GLT1D1	6.52494120074612e-06
YIPF1	6.52492430275608e-06
LINC00900	6.52490773465022e-06
CNOT7	6.52473639888668e-06
H4C8	6.52461871634765e-06
FAU	6.52437278429737e-06
ZBTB48	6.52410101648314e-06
POMZP3	6.52387409904868e-06
MRGPRE	6.5233218777364e-06
LEPR	6.52308284236605e-06
EDN1	6.52307432646333e-06
CAMK1	6.52272042172636e-06
ZBTB22	6.52266330854468e-06
KRTAP5-9	6.52265330553446e-06
RPS6KA4	6.52234749095813e-06
SQSTM1	6.52217760788042e-06
CLDN10	6.52199819534355e-06
NUCB2	6.52194136754115e-06
SRP19	6.52188805988537e-06
TIMMDC1	6.52188774572773e-06
SLC29A1	6.5216308009895e-06
RNASE1	6.52147688952787e-06
TBC1D7	6.52139619882622e-06
DUSP16	6.52117740369454e-06
PPIL1	6.52112725964544e-06
GPAT4	6.52020614393536e-06
KCTD7	6.52001837513754e-06
MPC1	6.51939886466793e-06
MTARC1	6.5188041532622e-06
CFAP418	6.51870479317186e-06
SACM1L	6.5183311095775e-06
RELL2	6.51829729973603e-06
CSTF2T	6.51820622646043e-06
MIOS	6.51804452785978e-06
SCAP	6.51737563864654e-06
FRS2	6.51728378035212e-06
GRHPR	6.51696849048464e-06
B3GAT3	6.51641799915858e-06
CRYBG1	6.51634737589877e-06
CACHD1	6.51623563486652e-06
FAM174A	6.51598005127951e-06
YEATS4	6.51597590306321e-06
FRY	6.51590133814978e-06
NTPCR	6.51578960283967e-06
HLA-DQA1	6.5156775836274e-06
SSR3	6.51564986400769e-06
TJP2	6.51539767774124e-06
PDE1B	6.51538266773808e-06
STX2	6.51508903290079e-06
PRRC2A	6.51428238420321e-06
PIK3AP1	6.51427732685151e-06
